,stem,img_file,label_file,is_test,class
1,AKK_ASTA_48,/aisscv/preprocessing/data/AKK_ASTA_48.jpg,/aisscv/preprocessing/data/AKK_ASTA_48.txt,True,AKK_ASTA
4,AKK_ASTA_44,/aisscv/preprocessing/data/AKK_ASTA_44.jpg,/aisscv/preprocessing/data/AKK_ASTA_44.txt,True,AKK_ASTA
11,AKK_ASTA_75,/aisscv/preprocessing/data/AKK_ASTA_75.jpg,/aisscv/preprocessing/data/AKK_ASTA_75.txt,True,AKK_ASTA
13,AKK_ASTA_40,/aisscv/preprocessing/data/AKK_ASTA_40.jpg,/aisscv/preprocessing/data/AKK_ASTA_40.txt,True,AKK_ASTA
20,AKK_ASTA_39,/aisscv/preprocessing/data/AKK_ASTA_39.jpg,/aisscv/preprocessing/data/AKK_ASTA_39.txt,True,AKK_ASTA
22,AKK_ASTA_37,/aisscv/preprocessing/data/AKK_ASTA_37.jpg,/aisscv/preprocessing/data/AKK_ASTA_37.txt,True,AKK_ASTA
23,AKK_ASTA_42,/aisscv/preprocessing/data/AKK_ASTA_42.jpg,/aisscv/preprocessing/data/AKK_ASTA_42.txt,True,AKK_ASTA
25,AKK_ASTA_25,/aisscv/preprocessing/data/AKK_ASTA_25.jpg,/aisscv/preprocessing/data/AKK_ASTA_25.txt,True,AKK_ASTA
32,AKK_ASTA_27,/aisscv/preprocessing/data/AKK_ASTA_27.jpg,/aisscv/preprocessing/data/AKK_ASTA_27.txt,True,AKK_ASTA
33,AKK_ASTA_61,/aisscv/preprocessing/data/AKK_ASTA_61.jpg,/aisscv/preprocessing/data/AKK_ASTA_61.txt,True,AKK_ASTA
35,AKK_ASTA_21,/aisscv/preprocessing/data/AKK_ASTA_21.jpg,/aisscv/preprocessing/data/AKK_ASTA_21.txt,True,AKK_ASTA
41,AKK_ASTA_45,/aisscv/preprocessing/data/AKK_ASTA_45.jpg,/aisscv/preprocessing/data/AKK_ASTA_45.txt,True,AKK_ASTA
44,AKK_ASTA_10,/aisscv/preprocessing/data/AKK_ASTA_10.jpg,/aisscv/preprocessing/data/AKK_ASTA_10.txt,True,AKK_ASTA
50,AKK_ASTA_7,/aisscv/preprocessing/data/AKK_ASTA_7.jpg,/aisscv/preprocessing/data/AKK_ASTA_7.txt,True,AKK_ASTA
64,AKK_ASTA_57,/aisscv/preprocessing/data/AKK_ASTA_57.jpg,/aisscv/preprocessing/data/AKK_ASTA_57.txt,True,AKK_ASTA
79,Alte_Bib_64,/aisscv/preprocessing/data/Alte_Bib_64.jpg,/aisscv/preprocessing/data/Alte_Bib_64.txt,True,Alte_Bib
81,Alte_Bib_18,/aisscv/preprocessing/data/Alte_Bib_18.jpg,/aisscv/preprocessing/data/Alte_Bib_18.txt,True,Alte_Bib
89,Alte_Bib_5,/aisscv/preprocessing/data/Alte_Bib_5.jpg,/aisscv/preprocessing/data/Alte_Bib_5.txt,True,Alte_Bib
90,Alte_Bib_59,/aisscv/preprocessing/data/Alte_Bib_59.jpg,/aisscv/preprocessing/data/Alte_Bib_59.txt,True,Alte_Bib
91,Alte_Bib_9,/aisscv/preprocessing/data/Alte_Bib_9.jpg,/aisscv/preprocessing/data/Alte_Bib_9.txt,True,Alte_Bib
94,Alte_Bib_60,/aisscv/preprocessing/data/Alte_Bib_60.jpg,/aisscv/preprocessing/data/Alte_Bib_60.txt,True,Alte_Bib
111,Alte_Bib_50,/aisscv/preprocessing/data/Alte_Bib_50.jpg,/aisscv/preprocessing/data/Alte_Bib_50.txt,True,Alte_Bib
117,Alte_Bib_80,/aisscv/preprocessing/data/Alte_Bib_80.jpg,/aisscv/preprocessing/data/Alte_Bib_80.txt,True,Alte_Bib
118,Alte_Bib_39,/aisscv/preprocessing/data/Alte_Bib_39.jpg,/aisscv/preprocessing/data/Alte_Bib_39.txt,True,Alte_Bib
120,Alte_Bib_77,/aisscv/preprocessing/data/Alte_Bib_77.jpg,/aisscv/preprocessing/data/Alte_Bib_77.txt,True,Alte_Bib
123,Alte_Bib_58,/aisscv/preprocessing/data/Alte_Bib_58.jpg,/aisscv/preprocessing/data/Alte_Bib_58.txt,True,Alte_Bib
124,Alte_Bib_16,/aisscv/preprocessing/data/Alte_Bib_16.jpg,/aisscv/preprocessing/data/Alte_Bib_16.txt,True,Alte_Bib
128,Alte_Bib_55,/aisscv/preprocessing/data/Alte_Bib_55.jpg,/aisscv/preprocessing/data/Alte_Bib_55.txt,True,Alte_Bib
139,Alte_Bib_4,/aisscv/preprocessing/data/Alte_Bib_4.jpg,/aisscv/preprocessing/data/Alte_Bib_4.txt,True,Alte_Bib
147,Alte_Bib_71,/aisscv/preprocessing/data/Alte_Bib_71.jpg,/aisscv/preprocessing/data/Alte_Bib_71.txt,True,Alte_Bib
153,Alte_Bib_3,/aisscv/preprocessing/data/Alte_Bib_3.jpg,/aisscv/preprocessing/data/Alte_Bib_3.txt,True,Alte_Bib
158,Alte_Bib_56,/aisscv/preprocessing/data/Alte_Bib_56.jpg,/aisscv/preprocessing/data/Alte_Bib_56.txt,True,Alte_Bib
159,Alte_Bib_20,/aisscv/preprocessing/data/Alte_Bib_20.jpg,/aisscv/preprocessing/data/Alte_Bib_20.txt,True,Alte_Bib
160,Alte_Bib_22,/aisscv/preprocessing/data/Alte_Bib_22.jpg,/aisscv/preprocessing/data/Alte_Bib_22.txt,True,Alte_Bib
178,Audimax_24,/aisscv/preprocessing/data/Audimax_24.jpg,/aisscv/preprocessing/data/Audimax_24.txt,True,Audimax
183,Audimax_28,/aisscv/preprocessing/data/Audimax_28.jpg,/aisscv/preprocessing/data/Audimax_28.txt,True,Audimax
187,Audimax_31,/aisscv/preprocessing/data/Audimax_31.jpg,/aisscv/preprocessing/data/Audimax_31.txt,True,Audimax
195,Audimax_2,/aisscv/preprocessing/data/Audimax_2.jpg,/aisscv/preprocessing/data/Audimax_2.txt,True,Audimax
201,Audimax_57,/aisscv/preprocessing/data/Audimax_57.jpg,/aisscv/preprocessing/data/Audimax_57.txt,True,Audimax
202,Audimax_23,/aisscv/preprocessing/data/Audimax_23.jpg,/aisscv/preprocessing/data/Audimax_23.txt,True,Audimax
206,Audimax_14,/aisscv/preprocessing/data/Audimax_14.jpg,/aisscv/preprocessing/data/Audimax_14.txt,True,Audimax
213,Audimax_27,/aisscv/preprocessing/data/Audimax_27.jpg,/aisscv/preprocessing/data/Audimax_27.txt,True,Audimax
214,Audimax_10,/aisscv/preprocessing/data/Audimax_10.jpg,/aisscv/preprocessing/data/Audimax_10.txt,True,Audimax
217,Audimax_51,/aisscv/preprocessing/data/Audimax_51.jpg,/aisscv/preprocessing/data/Audimax_51.txt,True,Audimax
219,Audimax_25,/aisscv/preprocessing/data/Audimax_25.jpg,/aisscv/preprocessing/data/Audimax_25.txt,True,Audimax
230,Audimax_48,/aisscv/preprocessing/data/Audimax_48.jpg,/aisscv/preprocessing/data/Audimax_48.txt,True,Audimax
232,Gruenderschmiede_1,/aisscv/preprocessing/data/Gruenderschmiede_1.jpg,/aisscv/preprocessing/data/Gruenderschmiede_1.txt,True,Gruenderschmiede
234,Gruenderschmiede_43,/aisscv/preprocessing/data/Gruenderschmiede_43.jpg,/aisscv/preprocessing/data/Gruenderschmiede_43.txt,True,Gruenderschmiede
251,Gruenderschmiede_35,/aisscv/preprocessing/data/Gruenderschmiede_35.jpg,/aisscv/preprocessing/data/Gruenderschmiede_35.txt,True,Gruenderschmiede
260,Gruenderschmiede_52,/aisscv/preprocessing/data/Gruenderschmiede_52.jpg,/aisscv/preprocessing/data/Gruenderschmiede_52.txt,True,Gruenderschmiede
264,Gruenderschmiede_19,/aisscv/preprocessing/data/Gruenderschmiede_19.jpg,/aisscv/preprocessing/data/Gruenderschmiede_19.txt,True,Gruenderschmiede
269,Gruenderschmiede_27,/aisscv/preprocessing/data/Gruenderschmiede_27.jpg,/aisscv/preprocessing/data/Gruenderschmiede_27.txt,True,Gruenderschmiede
270,Gruenderschmiede_49,/aisscv/preprocessing/data/Gruenderschmiede_49.jpg,/aisscv/preprocessing/data/Gruenderschmiede_49.txt,True,Gruenderschmiede
274,Gruenderschmiede_6,/aisscv/preprocessing/data/Gruenderschmiede_6.jpg,/aisscv/preprocessing/data/Gruenderschmiede_6.txt,True,Gruenderschmiede
276,Gruenderschmiede_21,/aisscv/preprocessing/data/Gruenderschmiede_21.jpg,/aisscv/preprocessing/data/Gruenderschmiede_21.txt,True,Gruenderschmiede
277,Gruenderschmiede_18,/aisscv/preprocessing/data/Gruenderschmiede_18.jpg,/aisscv/preprocessing/data/Gruenderschmiede_18.txt,True,Gruenderschmiede
278,Gruenderschmiede_50,/aisscv/preprocessing/data/Gruenderschmiede_50.jpg,/aisscv/preprocessing/data/Gruenderschmiede_50.txt,True,Gruenderschmiede
288,Haber_Bosch_41,/aisscv/preprocessing/data/Haber_Bosch_41.jpg,/aisscv/preprocessing/data/Haber_Bosch_41.txt,True,Haber_Bosch
292,Haber_Bosch_36,/aisscv/preprocessing/data/Haber_Bosch_36.jpg,/aisscv/preprocessing/data/Haber_Bosch_36.txt,True,Haber_Bosch
293,Haber_Bosch_45,/aisscv/preprocessing/data/Haber_Bosch_45.jpg,/aisscv/preprocessing/data/Haber_Bosch_45.txt,True,Haber_Bosch
298,Haber_Bosch_57,/aisscv/preprocessing/data/Haber_Bosch_57.jpg,/aisscv/preprocessing/data/Haber_Bosch_57.txt,True,Haber_Bosch
309,Haber_Bosch_53,/aisscv/preprocessing/data/Haber_Bosch_53.jpg,/aisscv/preprocessing/data/Haber_Bosch_53.txt,True,Haber_Bosch
310,Haber_Bosch_65,/aisscv/preprocessing/data/Haber_Bosch_65.jpg,/aisscv/preprocessing/data/Haber_Bosch_65.txt,True,Haber_Bosch
