,stem,img_file,label_file,is_test,class
0,AKK_ASTA_28,/aisscv/preprocessing/data/AKK_ASTA_28.jpg,/aisscv/preprocessing/data/AKK_ASTA_28.txt,True,AKK_ASTA
1,AKK_ASTA_68,/aisscv/preprocessing/data/AKK_ASTA_68.jpg,/aisscv/preprocessing/data/AKK_ASTA_68.txt,True,AKK_ASTA
2,AKK_ASTA_8,/aisscv/preprocessing/data/AKK_ASTA_8.jpg,/aisscv/preprocessing/data/AKK_ASTA_8.txt,True,AKK_ASTA
3,AKK_ASTA_54,/aisscv/preprocessing/data/AKK_ASTA_54.jpg,/aisscv/preprocessing/data/AKK_ASTA_54.txt,True,AKK_ASTA
4,AKK_ASTA_55,/aisscv/preprocessing/data/AKK_ASTA_55.jpg,/aisscv/preprocessing/data/AKK_ASTA_55.txt,True,AKK_ASTA
5,AKK_ASTA_62,/aisscv/preprocessing/data/AKK_ASTA_62.jpg,/aisscv/preprocessing/data/AKK_ASTA_62.txt,True,AKK_ASTA
6,AKK_ASTA_51,/aisscv/preprocessing/data/AKK_ASTA_51.jpg,/aisscv/preprocessing/data/AKK_ASTA_51.txt,True,AKK_ASTA
7,AKK_ASTA_65,/aisscv/preprocessing/data/AKK_ASTA_65.jpg,/aisscv/preprocessing/data/AKK_ASTA_65.txt,True,AKK_ASTA
8,Alte_Bib_52,/aisscv/preprocessing/data/Alte_Bib_52.jpg,/aisscv/preprocessing/data/Alte_Bib_52.txt,True,Alte_Bib
9,Alte_Bib_40,/aisscv/preprocessing/data/Alte_Bib_40.jpg,/aisscv/preprocessing/data/Alte_Bib_40.txt,True,Alte_Bib
10,Alte_Bib_17,/aisscv/preprocessing/data/Alte_Bib_17.jpg,/aisscv/preprocessing/data/Alte_Bib_17.txt,True,Alte_Bib
11,Alte_Bib_38,/aisscv/preprocessing/data/Alte_Bib_38.jpg,/aisscv/preprocessing/data/Alte_Bib_38.txt,True,Alte_Bib
12,Alte_Bib_69,/aisscv/preprocessing/data/Alte_Bib_69.jpg,/aisscv/preprocessing/data/Alte_Bib_69.txt,True,Alte_Bib
13,Alte_Bib_34,/aisscv/preprocessing/data/Alte_Bib_34.jpg,/aisscv/preprocessing/data/Alte_Bib_34.txt,True,Alte_Bib
14,Alte_Bib_24,/aisscv/preprocessing/data/Alte_Bib_24.jpg,/aisscv/preprocessing/data/Alte_Bib_24.txt,True,Alte_Bib
15,Alte_Bib_94,/aisscv/preprocessing/data/Alte_Bib_94.jpg,/aisscv/preprocessing/data/Alte_Bib_94.txt,True,Alte_Bib
16,Alte_Bib_90,/aisscv/preprocessing/data/Alte_Bib_90.jpg,/aisscv/preprocessing/data/Alte_Bib_90.txt,True,Alte_Bib
17,Alte_Bib_79,/aisscv/preprocessing/data/Alte_Bib_79.jpg,/aisscv/preprocessing/data/Alte_Bib_79.txt,True,Alte_Bib
18,Audimax_13,/aisscv/preprocessing/data/Audimax_13.jpg,/aisscv/preprocessing/data/Audimax_13.txt,True,Audimax
19,Audimax_56,/aisscv/preprocessing/data/Audimax_56.jpg,/aisscv/preprocessing/data/Audimax_56.txt,True,Audimax
20,Audimax_38,/aisscv/preprocessing/data/Audimax_38.jpg,/aisscv/preprocessing/data/Audimax_38.txt,True,Audimax
21,Audimax_11,/aisscv/preprocessing/data/Audimax_11.jpg,/aisscv/preprocessing/data/Audimax_11.txt,True,Audimax
22,Audimax_35,/aisscv/preprocessing/data/Audimax_35.jpg,/aisscv/preprocessing/data/Audimax_35.txt,True,Audimax
23,Audimax_39,/aisscv/preprocessing/data/Audimax_39.jpg,/aisscv/preprocessing/data/Audimax_39.txt,True,Audimax
24,Gruenderschmiede_48,/aisscv/preprocessing/data/Gruenderschmiede_48.jpg,/aisscv/preprocessing/data/Gruenderschmiede_48.txt,True,Gruenderschmiede
25,Gruenderschmiede_10,/aisscv/preprocessing/data/Gruenderschmiede_10.jpg,/aisscv/preprocessing/data/Gruenderschmiede_10.txt,True,Gruenderschmiede
26,Gruenderschmiede_42,/aisscv/preprocessing/data/Gruenderschmiede_42.jpg,/aisscv/preprocessing/data/Gruenderschmiede_42.txt,True,Gruenderschmiede
27,Gruenderschmiede_32,/aisscv/preprocessing/data/Gruenderschmiede_32.jpg,/aisscv/preprocessing/data/Gruenderschmiede_32.txt,True,Gruenderschmiede
28,Gruenderschmiede_28,/aisscv/preprocessing/data/Gruenderschmiede_28.jpg,/aisscv/preprocessing/data/Gruenderschmiede_28.txt,True,Gruenderschmiede
29,Haber_Bosch_40,/aisscv/preprocessing/data/Haber_Bosch_40.jpg,/aisscv/preprocessing/data/Haber_Bosch_40.txt,True,Haber_Bosch
30,Haber_Bosch_66,/aisscv/preprocessing/data/Haber_Bosch_66.jpg,/aisscv/preprocessing/data/Haber_Bosch_66.txt,True,Haber_Bosch
31,Haber_Bosch_48,/aisscv/preprocessing/data/Haber_Bosch_48.jpg,/aisscv/preprocessing/data/Haber_Bosch_48.txt,True,Haber_Bosch
32,Haber_Bosch_69,/aisscv/preprocessing/data/Haber_Bosch_69.jpg,/aisscv/preprocessing/data/Haber_Bosch_69.txt,True,Haber_Bosch
33,Haber_Bosch_2,/aisscv/preprocessing/data/Haber_Bosch_2.jpg,/aisscv/preprocessing/data/Haber_Bosch_2.txt,True,Haber_Bosch
34,Haber_Bosch_67,/aisscv/preprocessing/data/Haber_Bosch_67.jpg,/aisscv/preprocessing/data/Haber_Bosch_67.txt,True,Haber_Bosch
35,Haber_Bosch_35,/aisscv/preprocessing/data/Haber_Bosch_35.jpg,/aisscv/preprocessing/data/Haber_Bosch_35.txt,True,Haber_Bosch
36,Kolben_56,/aisscv/preprocessing/data/Kolben_56.jpg,/aisscv/preprocessing/data/Kolben_56.txt,True,Kolben
37,Kolben_60,/aisscv/preprocessing/data/Kolben_60.jpg,/aisscv/preprocessing/data/Kolben_60.txt,True,Kolben
38,Kolben_18,/aisscv/preprocessing/data/Kolben_18.jpg,/aisscv/preprocessing/data/Kolben_18.txt,True,Kolben
39,Kolben_15,/aisscv/preprocessing/data/Kolben_15.jpg,/aisscv/preprocessing/data/Kolben_15.txt,True,Kolben
40,Kolben_55,/aisscv/preprocessing/data/Kolben_55.jpg,/aisscv/preprocessing/data/Kolben_55.txt,True,Kolben
41,Kolben_48,/aisscv/preprocessing/data/Kolben_48.jpg,/aisscv/preprocessing/data/Kolben_48.txt,True,Kolben
42,Kolben_27,/aisscv/preprocessing/data/Kolben_27.jpg,/aisscv/preprocessing/data/Kolben_27.txt,True,Kolben
43,Kopf_86,/aisscv/preprocessing/data/Kopf_86.jpg,/aisscv/preprocessing/data/Kopf_86.txt,True,Kopf
44,Kopf_87,/aisscv/preprocessing/data/Kopf_87.jpg,/aisscv/preprocessing/data/Kopf_87.txt,True,Kopf
45,Kopf_6,/aisscv/preprocessing/data/Kopf_6.jpg,/aisscv/preprocessing/data/Kopf_6.txt,True,Kopf
46,Kopf_75,/aisscv/preprocessing/data/Kopf_75.jpg,/aisscv/preprocessing/data/Kopf_75.txt,True,Kopf
47,Kopf_96,/aisscv/preprocessing/data/Kopf_96.jpg,/aisscv/preprocessing/data/Kopf_96.txt,True,Kopf
48,Kopf_89,/aisscv/preprocessing/data/Kopf_89.jpg,/aisscv/preprocessing/data/Kopf_89.txt,True,Kopf
49,Kopf_54,/aisscv/preprocessing/data/Kopf_54.jpg,/aisscv/preprocessing/data/Kopf_54.txt,True,Kopf
50,Kopf_90,/aisscv/preprocessing/data/Kopf_90.jpg,/aisscv/preprocessing/data/Kopf_90.txt,True,Kopf
51,Kopf_72,/aisscv/preprocessing/data/Kopf_72.jpg,/aisscv/preprocessing/data/Kopf_72.txt,True,Kopf
52,Kopf_19,/aisscv/preprocessing/data/Kopf_19.jpg,/aisscv/preprocessing/data/Kopf_19.txt,True,Kopf
53,Lernzentrum_73,/aisscv/preprocessing/data/Lernzentrum_73.jpg,/aisscv/preprocessing/data/Lernzentrum_73.txt,True,Lernzentrum
54,Lernzentrum_7,/aisscv/preprocessing/data/Lernzentrum_7.jpg,/aisscv/preprocessing/data/Lernzentrum_7.txt,True,Lernzentrum
