,stem,img_file,label_file,is_test,class
0,AKK_ASTA_24,/aisscv/preprocessing/data/AKK_ASTA_24.jpg,/aisscv/preprocessing/data/AKK_ASTA_24.txt,True,AKK_ASTA
1,AKK_ASTA_64,/aisscv/preprocessing/data/AKK_ASTA_64.jpg,/aisscv/preprocessing/data/AKK_ASTA_64.txt,True,AKK_ASTA
2,AKK_ASTA_29,/aisscv/preprocessing/data/AKK_ASTA_29.jpg,/aisscv/preprocessing/data/AKK_ASTA_29.txt,True,AKK_ASTA
3,AKK_ASTA_41,/aisscv/preprocessing/data/AKK_ASTA_41.jpg,/aisscv/preprocessing/data/AKK_ASTA_41.txt,True,AKK_ASTA
4,AKK_ASTA_6,/aisscv/preprocessing/data/AKK_ASTA_6.jpg,/aisscv/preprocessing/data/AKK_ASTA_6.txt,True,AKK_ASTA
5,AKK_ASTA_74,/aisscv/preprocessing/data/AKK_ASTA_74.jpg,/aisscv/preprocessing/data/AKK_ASTA_74.txt,True,AKK_ASTA
6,AKK_ASTA_30,/aisscv/preprocessing/data/AKK_ASTA_30.jpg,/aisscv/preprocessing/data/AKK_ASTA_30.txt,True,AKK_ASTA
7,AKK_ASTA_46,/aisscv/preprocessing/data/AKK_ASTA_46.jpg,/aisscv/preprocessing/data/AKK_ASTA_46.txt,True,AKK_ASTA
8,Alte_Bib_67,/aisscv/preprocessing/data/Alte_Bib_67.jpg,/aisscv/preprocessing/data/Alte_Bib_67.txt,True,Alte_Bib
9,Alte_Bib_89,/aisscv/preprocessing/data/Alte_Bib_89.jpg,/aisscv/preprocessing/data/Alte_Bib_89.txt,True,Alte_Bib
10,Alte_Bib_49,/aisscv/preprocessing/data/Alte_Bib_49.jpg,/aisscv/preprocessing/data/Alte_Bib_49.txt,True,Alte_Bib
11,Alte_Bib_70,/aisscv/preprocessing/data/Alte_Bib_70.jpg,/aisscv/preprocessing/data/Alte_Bib_70.txt,True,Alte_Bib
12,Alte_Bib_82,/aisscv/preprocessing/data/Alte_Bib_82.jpg,/aisscv/preprocessing/data/Alte_Bib_82.txt,True,Alte_Bib
13,Alte_Bib_57,/aisscv/preprocessing/data/Alte_Bib_57.jpg,/aisscv/preprocessing/data/Alte_Bib_57.txt,True,Alte_Bib
14,Alte_Bib_6,/aisscv/preprocessing/data/Alte_Bib_6.jpg,/aisscv/preprocessing/data/Alte_Bib_6.txt,True,Alte_Bib
15,Alte_Bib_43,/aisscv/preprocessing/data/Alte_Bib_43.jpg,/aisscv/preprocessing/data/Alte_Bib_43.txt,True,Alte_Bib
16,Alte_Bib_8,/aisscv/preprocessing/data/Alte_Bib_8.jpg,/aisscv/preprocessing/data/Alte_Bib_8.txt,True,Alte_Bib
17,Audimax_21,/aisscv/preprocessing/data/Audimax_21.jpg,/aisscv/preprocessing/data/Audimax_21.txt,True,Audimax
18,Audimax_12,/aisscv/preprocessing/data/Audimax_12.jpg,/aisscv/preprocessing/data/Audimax_12.txt,True,Audimax
19,Audimax_9,/aisscv/preprocessing/data/Audimax_9.jpg,/aisscv/preprocessing/data/Audimax_9.txt,True,Audimax
20,Audimax_16,/aisscv/preprocessing/data/Audimax_16.jpg,/aisscv/preprocessing/data/Audimax_16.txt,True,Audimax
21,Audimax_5,/aisscv/preprocessing/data/Audimax_5.jpg,/aisscv/preprocessing/data/Audimax_5.txt,True,Audimax
22,Audimax_45,/aisscv/preprocessing/data/Audimax_45.jpg,/aisscv/preprocessing/data/Audimax_45.txt,True,Audimax
23,Audimax_15,/aisscv/preprocessing/data/Audimax_15.jpg,/aisscv/preprocessing/data/Audimax_15.txt,True,Audimax
24,Gruenderschmiede_47,/aisscv/preprocessing/data/Gruenderschmiede_47.jpg,/aisscv/preprocessing/data/Gruenderschmiede_47.txt,True,Gruenderschmiede
25,Gruenderschmiede_7,/aisscv/preprocessing/data/Gruenderschmiede_7.jpg,/aisscv/preprocessing/data/Gruenderschmiede_7.txt,True,Gruenderschmiede
26,Gruenderschmiede_22,/aisscv/preprocessing/data/Gruenderschmiede_22.jpg,/aisscv/preprocessing/data/Gruenderschmiede_22.txt,True,Gruenderschmiede
27,Gruenderschmiede_39,/aisscv/preprocessing/data/Gruenderschmiede_39.jpg,/aisscv/preprocessing/data/Gruenderschmiede_39.txt,True,Gruenderschmiede
28,Gruenderschmiede_23,/aisscv/preprocessing/data/Gruenderschmiede_23.jpg,/aisscv/preprocessing/data/Gruenderschmiede_23.txt,True,Gruenderschmiede
29,Haber_Bosch_11,/aisscv/preprocessing/data/Haber_Bosch_11.jpg,/aisscv/preprocessing/data/Haber_Bosch_11.txt,True,Haber_Bosch
30,Haber_Bosch_54,/aisscv/preprocessing/data/Haber_Bosch_54.jpg,/aisscv/preprocessing/data/Haber_Bosch_54.txt,True,Haber_Bosch
31,Haber_Bosch_56,/aisscv/preprocessing/data/Haber_Bosch_56.jpg,/aisscv/preprocessing/data/Haber_Bosch_56.txt,True,Haber_Bosch
32,Haber_Bosch_33,/aisscv/preprocessing/data/Haber_Bosch_33.jpg,/aisscv/preprocessing/data/Haber_Bosch_33.txt,True,Haber_Bosch
33,Haber_Bosch_34,/aisscv/preprocessing/data/Haber_Bosch_34.jpg,/aisscv/preprocessing/data/Haber_Bosch_34.txt,True,Haber_Bosch
34,Haber_Bosch_62,/aisscv/preprocessing/data/Haber_Bosch_62.jpg,/aisscv/preprocessing/data/Haber_Bosch_62.txt,True,Haber_Bosch
