,stem,img_file,label_file,is_test,class
31,AKK_ASTA_29,/content/AISSCV/preprocessing/data/AKK_ASTA_29.jpg,/content/AISSCV/preprocessing/data/AKK_ASTA_29.txt,True,AKK_ASTA
99,Alte_Bib_47,/content/AISSCV/preprocessing/data/Alte_Bib_47.jpg,/content/AISSCV/preprocessing/data/Alte_Bib_47.txt,True,Alte_Bib
149,Alte_Bib_40,/content/AISSCV/preprocessing/data/Alte_Bib_40.jpg,/content/AISSCV/preprocessing/data/Alte_Bib_40.txt,True,Alte_Bib
231,Audimax_11,/content/AISSCV/preprocessing/data/Audimax_11.jpg,/content/AISSCV/preprocessing/data/Audimax_11.txt,True,Audimax
782,Neue_Bib_23,/content/AISSCV/preprocessing/data/Neue_Bib_23.jpg,/content/AISSCV/preprocessing/data/Neue_Bib_23.txt,True,Neue_Bib
806,Soldat_43,/content/AISSCV/preprocessing/data/Soldat_43.jpg,/content/AISSCV/preprocessing/data/Soldat_43.txt,True,Soldat
874,Studierendenwerk_5,/content/AISSCV/preprocessing/data/Studierendenwerk_5.jpg,/content/AISSCV/preprocessing/data/Studierendenwerk_5.txt,True,Studierendenwerk
646,Mathebau_41,/content/AISSCV/preprocessing/data/Mathebau_41.jpg,/content/AISSCV/preprocessing/data/Mathebau_41.txt,True,Mathebau
320,Haber_Bosch_6,/content/AISSCV/preprocessing/data/Haber_Bosch_6.jpg,/content/AISSCV/preprocessing/data/Haber_Bosch_6.txt,True,Haber_Bosch
210,Audimax_39,/content/AISSCV/preprocessing/data/Audimax_39.jpg,/content/AISSCV/preprocessing/data/Audimax_39.txt,True,Audimax
39,AKK_ASTA_59,/content/AISSCV/preprocessing/data/AKK_ASTA_59.jpg,/content/AISSCV/preprocessing/data/AKK_ASTA_59.txt,True,AKK_ASTA
728,Mensa_97,/content/AISSCV/preprocessing/data/Mensa_97.jpg,/content/AISSCV/preprocessing/data/Mensa_97.txt,True,Mensa
899,Studierendenwerk_43,/content/AISSCV/preprocessing/data/Studierendenwerk_43.jpg,/content/AISSCV/preprocessing/data/Studierendenwerk_43.txt,True,Studierendenwerk
164,Alte_Bib_85,/content/AISSCV/preprocessing/data/Alte_Bib_85.jpg,/content/AISSCV/preprocessing/data/Alte_Bib_85.txt,True,Alte_Bib
830,Soldat_26,/content/AISSCV/preprocessing/data/Soldat_26.jpg,/content/AISSCV/preprocessing/data/Soldat_26.txt,True,Soldat
